Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO_Test,3,225,166,100,3,42,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO_Test\Properties,1,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO_Test\obj,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO_Test\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO_Tests,1,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO_Tests\Properties,1,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileSorting,8,357,214,114,5,46,3,97,512,0,1
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileSorting\Interfaces,1,10,9,5,0,1,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileSorting\Interfaces\Sorting,1,10,9,5,0,1,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileSorting\Properties,2,124,61,19,2,14,3,49,325,0,1
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileSorting\Sorting,1,54,38,24,2,8,0,8,76,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileSorting\obj,2,147,91,61,1,23,0,33,92,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileSorting\obj\Debug,2,147,91,61,1,23,0,33,92,0,0
