File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests\RecordGeneratorTests.cs,50,44,29,1,6,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests\RecordReaderTests.cs,39,31,22,0,8,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests\RecordTests.cs,121,93,64,0,28,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests\Properties\AssemblyInfo.cs,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\GeneratorSizeType.cs,8,8,2,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\PseudoRNG.cs,40,33,17,4,7,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\RandomPlaintextRecordGenerator.cs,45,38,22,5,7,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\RecordFileGenerator.cs,60,53,31,2,7,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\Interfaces\IPseudoRNG.cs,10,10,6,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\Interfaces\IRandomRecordGenerator.cs,12,11,7,0,1,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\Interfaces\IRecordFileGenerator.cs,10,9,5,0,1,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\Properties\AssemblyInfo.cs,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO\FibbonacciSequenceGenerator.cs,90,72,44,12,18,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO\Buffers\FileBuffers.cs,133,110,64,11,23,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO\Buffers\SequentialFile.cs,23,21,15,0,2,0,0,0,0,0
